parent_id,district,districtId,category,municipality,message_id,text,createdOn,updatedOn
23qwz3,Møre og Romsdal Politidistrikt,208,Ulykke,Ørsta,23qwz3-1,Trafikken går som normalt på E39 forbi ulykkesstaden.,2023-11-01T14:42:30.6303283+00:00,
23brh6,Sør-Øst Politidistrikt,204,Trafikk,Vinje,23brh6-0,"14:50 Nødetatene på vei etter melding om utforkjøring. To personer i bilen, sier seg uskadd. ",2023-11-01T14:15:55.137078+00:00,
23brh6,Sør-Øst Politidistrikt,204,Trafikk,Vinje,23brh6-1,Politiet er ferdige på stedet. Sjåføren er en mann i tenårene. Kjørt ut i lav hastighet og helt nye vinterdekk. Passasjer kjøres legevakt for sjekk. Sak opprettes.,2023-11-01T15:36:59.5065907+00:00,
23nx3j,Sør-Øst Politidistrikt,204,Ulykke,Larvik,23nx3j-0,14:50 Nødetatene på vei etter melding om bil som har kjørt i fjellveggen ved Lauve. En person i bilen. Våken og bevisst. Ukjent skadeomfang. ,2023-11-01T14:05:12.0740012+00:00,
23nx3j,Sør-Øst Politidistrikt,204,Ulykke,Larvik,23nx3j-1,Nødetatene er fremme på stedet. Veien er stengt inntil videre. Politiet tar i mot vitneforklaringer og undersøker hendelsesforløpet. Sjåføren er en mann i 20-åra. Han følges opp av helsevesenet.,2023-11-01T14:43:00.2296377+00:00,
23nx3j,Sør-Øst Politidistrikt,204,Ulykke,Larvik,23nx3j-2,Nødetatene er i ferd med å avslutte på stedet. Veien åpnes straks. Sjåføren er flydd til Ullevål med luftambulanse. Ukjent skadegrad. Sak opprettes.,2023-11-01T15:41:54.4166854+00:00,
23mk9g,Sør-Øst Politidistrikt,204,Trafikk,Hol,23mk9g-0,"14:30 Nødetatene er på vei etter melding om utforkjøring ved Haugastøl. Tre personer i bilen, sier seg uskadd. Oppdateres.",2023-11-01T13:52:26.3166339+00:00,
23mk9g,Sør-Øst Politidistrikt,204,Trafikk,Hol,23mk9g-1,Politiet er fremme. Ingen personskade og kun mindre materielle skader. Løses som en forsikringssak.,2023-11-01T14:40:43.534523+00:00,
238fqx,Troms Politidistrikt,211,Trafikk,Tjeldsund,238fqx-0,"Nødetatene på vei til trafikkuhell der trailer og personbil er involvert. 
De som var i bilene er kommet seg ut, ukjent evt. skadeomfang. E10 er pr. nå sperret. Oppdateres.",2023-11-01T13:12:12.9925756+00:00,
238fqx,Troms Politidistrikt,211,Trafikk,Tjeldsund,238fqx-1,"En person ble fraktet til sykehus i ambulanse, skadeomfang ukjent. Politiet oppretter sak og har beslaglagt førerkort til fører av personbil, en utenlandsk turist i 20-årene. Dette fremstår som et vikepliktbrudd. E10 er nå åpen.",2023-11-01T15:19:47.8264398+00:00,
23xb3s,Øst Politidistrikt,202,Trafikk,Lørenskog,23xb3s-0,En lastebil og personbil har kjørt i hverandre på RV159 inngående mot Lillestrøm. Nødetatene er på plass. Ikke snakk om personskade. Politiet fokuserer på å få ryddet stedet. Store trafikale utfordringer.,2023-11-01T13:08:25.1484454+00:00,
23xb3s,Øst Politidistrikt,202,Trafikk,Lørenskog,23xb3s-1,"Bilene var kjørbare og er flyttet vekk fra veien, trafikken flyter greit nå. Fører av personbil kjørt legevakt for undersøkelse, men ikke meldt om alvorlige personsskader. Fører av lastebil er mistenkt for å ha forårsaket ulykken.",2023-11-01T13:48:01.1751132+00:00,
23k7hp,Trøndelag Politidistrikt,209,Brann,Oppdal,23k7hp-0,Brann i bygning ved Fagerhaug flyplass. Brann i strømledning som har spredt seg til bygg. Mye røyk på stedet. Område ligger like ved E6. Stenging av E6 vurderes fortløpende.,2023-11-01T12:55:40.8850013+00:00,
23k7hp,Trøndelag Politidistrikt,209,Brann,Oppdal,23k7hp-1,Brannen på Oppdal ble raskt slukket. Ingen personer skadd. E6 ble ikke berørt.,2023-11-01T14:18:17.0408238+00:00,
